region,id,network_id,takeup_survey,delay,intensive,understanding,network_missname,address,village,network_address,network_village
3,3339010,,,,,,1,89,18,,
2,22211121,,,,,,1,26,8,,
1,11112277,,,,,,1,150,30,,
1,11124085,,,,,,1,217,44,,
3,33314180,,,,,,1,22,7,,
1,11123411,,,,,,1,99,19,,
3,33314178,,,,,,1,22,7,,
,1116102,,,,,,1,,,,
1,11124093,,,,,,1,217,44,,
1,1119987037,,,,,,1,120,24,,
3,33314044,,,,,,1,20,7,,
1,1118102,,,,,,1,104,20,,
1,1116318,,,,,,1,44,11,,
3,3335042,,,,,,1,241,48,,
1,1112252,,,,,,1,113,22,,
1,11122005,,,,,,1,3,2,,
3,3335149,,,,,,1,243,48,,
1,1111348,,,,,,1,58,12,,
1,1119996084,,,,,,1,9,4,,
3,33312027,,,,,,1,247,49,,
1,1116240,,,,,,1,41,11,,
1,11113269,,,,,,1,267,51,,
1,11124075,,,,,,1,217,44,,
3,3339032,,,,,,1,89,18,,
1,1119177,,,,,,1,212,42,,
1,1112466,,,,,,1,115,22,,
1,1119996372,,,,,,1,11,4,,
1,1116361,,,,,,1,44,11,,
1,1115214,,,,,,1,195,39,,
3,33314211,,,,,,1,23,7,,
1,11124189,,,,,,1,220,44,,
3,3339056,,,,,,1,89,18,,
1,1115483,,,,,,1,197,39,,
1,11113477,,,,,,1,271,51,,
1,1114638,,,,,,1,261,50,,
3,3334009,,,,,,1,222,45,,
1,11124274,,,,,,1,221,44,,
1,1114353,,,,,,1,256,50,,
1,1119996392,,,,,,1,11,4,,
1,1116821,,,,,,1,48,11,,
1,1114596,,,,,,1,261,50,,
1,1111340,,,,,,1,58,12,,
3,33314182,,,,,,1,22,7,,
1,11125185,,,,,,1,233,46,,
1,1116163,,,,,,1,40,11,,
2,22211354,,,,,,1,29,8,,
1,11125078,,,,,,1,229,46,,
1,1113565,,,,,,1,172,33,,
1,11112148,,,,,,1,148,30,,
3,33312228,,,,,,1,251,49,,
1,1114246,,,,,,1,255,50,,
1,11112129,,,,,,1,148,30,,
1,1115234,,,,,,1,195,39,,
1,11122097,,,,,,1,4,2,,
1,1114149,,,,,,1,254,50,,
3,33312266,,,,,,1,252,49,,
1,11110071,,,,,,1,198,40,,
3,3335150,,,,,,1,243,48,,
1,1118430,,,,,,1,102,20,,
3,3335025,,,,,,1,241,48,,
3,3339049,,,,,,1,89,18,,
,1116025,,,,,,1,,,,
2,22211155,99,,,,,0,26,8,,
1,11123452,,,,,,1,92,19,,
1,11117066,,,,,,1,82,17,,
1,1116189,,,,,,1,41,11,,
1,1114055,,,,,,1,253,50,,
1,1119996096,,,,,,1,9,4,,
3,3333089,,,,,,1,77,16,,
3,3338044,,,,,,1,116,23,,
3,3337019,,,,,,1,13,5,,
1,1112495,,,,,,1,115,22,,
1,11117775,,,,,,1,81,17,,
1,11117387,,,,,,1,87,17,,
1,1115045,,,,,,1,193,39,,
1,11123461,,,,,,1,92,19,,
1,1114557,,,,,,1,261,50,,
3,3336118,,,,,,1,186,37,,
3,3334091,,,,,,1,223,45,,
1,11113038,,,,,,1,265,51,,
1,1119987013,,,,,,1,120,24,,
1,11117761,,,,,,1,81,17,,
3,33312083,,,,,,1,248,49,,
,11125181,,,,,,1,,,,
1,11125204,,,,,,1,233,46,,
3,3335027,,,,,,1,241,48,,
1,11112274,,,,,,1,150,30,,
1,1115431,,,,,,1,197,39,,
3,33314024,,,,,,1,20,7,,
3,33312041,,,,,,1,247,49,,
3,33310241,,,,,,1,205,41,,
1,11116136,,,,,,1,8,3,,
1,1115238,,,,,,1,195,39,,
1,11123102,,,,,,1,96,19,,
,1116301,,,,,,1,,,,
1,11117751,,,,,,1,81,17,,
1,1118042,,,,,,1,101,20,,
,1116263,,,,,,1,,,,
1,11123481,,,,,,1,92,19,,
2,2227246,,,,,,1,137,28,,
1,1114219,,,,,,1,255,50,,
1,1111216,,,,,,1,56,12,,
1,1114494,,,,,,1,259,50,,
1,1114613,,,,,,1,262,50,,
1,1115221,,,,,,1,195,39,,
1,1111342,,,,,,1,58,12,,
1,11124055,,,,,,1,216,44,,
1,1115452,,,,,,1,197,39,,
1,1115493,,,,,,1,197,39,,
1,1111321,,,,,,1,58,12,,
1,11121101,,,,,,1,68,14,,
3,3334108,,,,,,1,223,45,,
1,11125193,,,,,,1,233,46,,
2,2226146,,,,,,1,128,25,,
2,22212151,,,,,,1,177,35,,
3,33312044,,,,,,1,247,49,,
1,1115055,,,,,,1,193,39,,
1,1114276,,,,,,1,255,50,,
3,3336087,,,,,,1,186,37,,
1,1119996331,,,,,,1,11,4,,
1,1116492,,,,,,1,47,11,,
1,11124096,,,,,,1,217,44,,
3,3338197,,,,,,1,119,23,,
1,1116166,,,,,,1,40,11,,
1,1119987064,,,,,,1,123,24,,
3,33314112,,,,,,1,19,7,,
1,11124198,,,,,,1,220,44,,
1,1113459,,,,,,1,171,33,,
1,11112154,,,,,,1,148,30,,
1,11121034,,,,,,1,67,14,,
,1111145,,,,,,1,,,,
2,2227310,,,,,,1,137,28,,
1,1113553,,,,,,1,172,33,,
3,3339041,,,,,,1,89,18,,
1,1113595,,,,,,1,172,33,,
1,11117321,,,,,,1,86,17,,
3,3333128,,,,,,1,77,16,,
1,1113433,,,,,,1,171,33,,
3,33314016,,,,,,1,20,7,,
1,1119996313,,,,,,1,11,4,,
1,1113559,1113580,,,,,0,172,33,1,
1,1118018,,,,,,1,101,20,,
3,3335089,,,,,,1,242,48,,
3,3333094,,,,,,1,77,16,,
1,1111046,,,,,,1,52,12,,
1,11110307,,,,,,1,202,40,,
3,3336076,,,,,,1,186,37,,
1,11112289,,,,,,1,150,30,,
3,3335029,,,,,,1,241,48,,
1,1119996320,,,,,,1,11,4,,
1,1116848,,,,,,1,48,11,,
3,33314091,,,,,,1,19,7,,
1,11112405,,,,,,1,152,30,,
1,11123085,,,,,,1,96,19,,
1,11113246,,,,,,1,267,51,,
1,1116328,,,,,,1,44,11,,
1,1111173,,,,,,1,55,12,,
3,3334028,,,,,,1,222,45,,
2,2229044,,,,,,1,62,13,,
2,22211438,,,,,,1,27,8,,
1,1119996068,,,,,,1,9,4,,
1,1111239,,,,,,1,56,12,,
1,1114468,,,,,,1,259,50,,
1,11110064,,,,,,1,198,40,,
1,11112013,,,,,,1,144,30,,
1,1111257,,,,,,1,56,12,,
1,1118403,,,,,,1,108,20,,
1,11123163,,,,,,1,98,19,,
1,1118022,,,,,,1,101,20,,
1,1118383,,,,,,1,108,20,,
1,11117081,,,,,,1,82,17,,
3,3338042,,,,,,1,116,23,,
3,33311085,,,,,,1,134,27,,
3,3334022,,,,,,1,222,45,,
1,11112255,,,,,,1,150,30,,
1,1114394,,,,,,1,257,50,,
3,3338200,,,,,,1,119,23,,
3,3331056,99,,,,,0,2,1,2,1
3,3331046,3331066,,,,,0,2,1,2,1
3,3331065,3331062,,,,,0,2,1,2,1
3,3331045,3331063,,,,,0,2,1,2,1
3,3331067,99,,,,,0,2,1,2,1
3,3331062,3331043,,,,,0,2,1,2,1
3,3331059,3331062,,,,,0,2,1,2,1
3,3331050,3331063,,,,,0,2,1,2,1
3,3331065,3331044,,,,,0,2,1,2,1
3,3331063,3331054,,,,,0,2,1,2,1
3,3331064,3331049,1,0,0,.60000002,0,2,1,2,1
3,3331066,3331049,1,0,0,.60000002,0,2,1,2,1
3,3331054,3331056,,,,,0,2,1,2,1
3,3331056,3331066,,,,,0,2,1,2,1
3,3331054,3331066,,,,,0,2,1,2,1
3,3331067,3331057,,,,,0,2,1,2,1
3,3331068,3331051,,,,,0,2,1,2,1
3,3331056,3331059,1,0,0,.60000002,0,2,1,2,1
3,3331057,3331051,,,,,0,2,1,2,1
3,3331049,3331047,0,0,1,.80000001,0,2,1,2,1
3,3331047,3331060,0,0,1,.80000001,0,2,1,2,1
3,3331045,3331042,1,0,1,.60000002,0,2,1,2,1
3,3331047,3331049,1,0,0,.60000002,0,2,1,2,1
3,3331064,3331045,1,0,1,.80000001,0,2,1,2,1
3,3331058,3331049,1,0,0,.60000002,0,2,1,2,1
3,3331058,3331063,,,,,0,2,1,2,1
3,3331054,3331058,,,,,0,2,1,2,1
3,3331067,3331055,,,,,0,2,1,2,1
3,3331057,3331058,,,,,0,2,1,2,1
3,3331044,3331053,,,,,0,2,1,2,1
3,3331066,3331060,0,0,1,.80000001,0,2,1,2,1
3,3331061,3331054,,,,,0,2,1,2,1
3,3331062,3331054,,,,,0,2,1,2,1
3,3331045,3331041,1,0,0,.2,0,2,1,2,1
3,3331041,3331046,0,0,0,.40000001,0,2,1,2,1
3,3331052,3331066,,,,,0,2,1,2,1
3,3331052,3331045,1,0,1,.80000001,0,2,1,2,1
3,3331061,3331049,1,0,0,.60000002,0,2,1,2,1
3,3331054,3331061,,,,,0,2,1,2,1
3,3331052,3331046,0,0,0,.40000001,0,2,1,2,1
3,3331059,3331061,,,,,0,2,1,2,1
3,3331042,3331059,1,0,0,.60000002,0,2,1,2,1
3,3331063,3331062,,,,,0,2,1,2,1
3,3331042,3331052,0,0,0,.2,0,2,1,2,1
3,3331060,3331042,1,0,1,.60000002,0,2,1,2,1
3,3331068,3331044,,,,,0,2,1,2,1
3,3331049,3331045,1,0,1,.80000001,0,2,1,2,1
3,3331060,3331045,1,0,1,.80000001,0,2,1,2,1
3,3331045,3331052,0,0,0,.2,0,2,1,2,1
3,3331061,3331066,,,,,0,2,1,2,1
3,3331050,3331054,,,,,0,2,1,2,1
3,3331041,3331045,1,0,1,.80000001,0,2,1,2,1
3,3331059,3331060,0,0,1,.80000001,0,2,1,2,1
3,3331062,3331063,,,,,0,2,1,2,1
3,3331058,3331057,,,,,0,2,1,2,1
3,3331050,3331066,,,,,0,2,1,2,1
3,3331064,3331058,,,,,0,2,1,2,1
3,3331047,3331045,1,0,1,.80000001,0,2,1,2,1
3,3331052,3331049,1,0,0,.60000002,0,2,1,2,1
3,3331047,3331041,1,0,0,.2,0,2,1,2,1
3,3331065,3331047,0,0,1,.80000001,0,2,1,2,1
3,3331056,3331052,0,0,0,.2,0,2,1,2,1
3,3331062,3331067,,,,,0,2,1,2,1
3,3331042,3331046,0,0,0,.40000001,0,2,1,2,1
3,3331049,3331046,0,0,0,.40000001,0,2,1,2,1
3,3331060,3331041,1,0,0,.2,0,2,1,2,1
3,3331051,3331045,1,0,1,.80000001,0,2,1,2,1
3,3331041,3331048,,,,,0,2,1,2,1
3,3331057,3331067,,,,,0,2,1,2,1
3,3331041,3331044,,,,,0,2,1,2,1
3,3331046,3331045,1,0,1,.80000001,0,2,1,2,1
3,3331063,3331058,,,,,0,2,1,2,1
3,3331047,3331042,1,0,1,.60000002,0,2,1,2,1
3,3331068,3331049,1,0,0,.60000002,0,2,1,2,1
3,3331063,3331041,1,0,0,.2,0,2,1,2,1
3,3331044,3331066,,,,,0,2,1,2,1
3,3331067,3331067,,,,,0,2,1,2,1
3,3331044,3331042,1,0,1,.60000002,0,2,1,2,1
3,3331042,3331045,1,0,1,.80000001,0,2,1,2,1
3,3331058,3331067,,,,,0,2,1,2,1
3,3331051,3331057,,,,,0,2,1,2,1
3,3331052,3331044,,,,,0,2,1,2,1
3,3331057,3331063,,,,,0,2,1,2,1
3,3331064,3331057,,,,,0,2,1,2,1
3,3331059,3331063,,,,,0,2,1,2,1
3,3331046,3331051,,,,,0,2,1,2,1
3,3331066,3331044,,,,,0,2,1,2,1
3,3331042,3331049,1,0,0,.60000002,0,2,1,2,1
3,3331051,3331048,,,,,0,2,1,2,1
3,3331050,3331061,,,,,0,2,1,2,1
3,3331067,3331062,,,,,0,2,1,2,1
3,3331057,3331047,0,0,1,.80000001,0,2,1,2,1
3,3331068,3331046,0,0,0,.40000001,0,2,1,2,1
3,3331059,3331065,1,0,1,0,0,2,1,2,1
3,3331049,3331053,,,,,0,2,1,2,1
3,3331061,3331059,1,0,0,.60000002,0,2,1,2,1
3,3331054,3331063,,,,,0,2,1,2,1
3,3331065,3331063,,,,,0,2,1,2,1
3,3331063,3331056,,,,,0,2,1,2,1
3,3331050,3331041,1,0,0,.2,0,2,1,2,1
3,3331066,3331041,1,0,0,.2,0,2,1,2,1
3,3331044,3331049,1,0,0,.60000002,0,2,1,2,1
3,3331049,3331052,0,0,0,.2,0,2,1,2,1
3,3331064,3331067,,,,,0,2,1,2,1
3,3331041,3331047,0,0,1,.80000001,0,2,1,2,1
3,3331056,3331063,,,,,0,2,1,2,1
3,3331046,3331049,1,0,0,.60000002,0,2,1,2,1
3,3331066,3331047,0,0,1,.80000001,0,2,1,2,1
3,3331051,3331042,1,0,1,.60000002,0,2,1,2,1
3,3331065,3331066,,,,,0,2,1,2,1
3,3331051,3331062,,,,,0,2,1,2,1
3,3331062,3331057,,,,,0,2,1,2,1
3,3331060,3331047,0,0,1,.80000001,0,2,1,2,1
3,3331060,3331049,1,0,0,.60000002,0,2,1,2,1
3,3331045,3331049,1,0,0,.60000002,0,2,1,2,1
3,3331046,3331050,,,,,0,2,1,2,1
3,3331044,3331047,0,0,1,.80000001,0,2,1,2,1
3,3331061,3331053,,,,,0,2,1,2,1
3,3331058,3331047,0,0,1,.80000001,0,2,1,2,1
3,3331068,3331045,1,0,1,.80000001,0,2,1,2,1
1,11122066,11122098,1,1,0,.60000002,0,4,2,4,2
1,11122052,11122026,0,0,0,1,0,3,2,3,2
1,11122029,11122009,1,0,1,1,0,3,2,3,2
1,11122082,11122093,1,1,0,.2,0,4,2,4,2
1,11122103,11122093,1,1,0,.2,0,4,2,4,2
1,11122009,11122032,1,1,0,.40000001,0,3,2,3,2
1,11122035,11122023,1,1,1,.2,0,3,2,3,2
1,11122023,11122025,1,1,0,.2,0,3,2,3,2
1,11122031,11122027,0,1,1,.40000001,0,3,2,3,2
1,11122023,11122041,0,1,0,1,0,3,2,3,2
1,11122098,11122080,1,0,1,.80000001,0,4,2,4,2
1,11122107,11122063,0,0,0,0,0,4,2,4,2
1,11122033,11122029,0,0,1,.80000001,0,3,2,3,2
1,11122046,11122043,,,,,0,3,2,3,2
1,11122076,11122057,1,1,1,.40000001,0,4,2,3,2
1,11122052,11122015,1,1,0,.2,0,3,2,3,2
1,11122026,11122006,0,0,0,.60000002,0,3,2,3,2
1,11122027,11122049,0,1,0,.2,0,3,2,3,2
1,11122048,11122022,,,,,0,3,2,3,2
1,11122101,11122095,1,0,0,.2,0,4,2,4,2
1,11122025,11122030,0,1,0,.2,0,3,2,3,2
1,11122107,11122082,1,0,0,0,0,4,2,4,2
1,11122101,11122108,1,1,1,.60000002,0,4,2,4,2
1,11122035,11122013,1,1,1,.2,0,3,2,3,2
1,11122048,11122040,,,,,0,3,2,3,2
1,11122082,11122096,,,,,0,4,2,4,2
1,11122015,11122041,0,1,0,1,0,3,2,3,2
1,11122029,11122043,,,,,0,3,2,3,2
1,11122095,11122093,1,1,0,.2,0,4,2,4,2
1,11122033,11122030,0,1,0,.2,0,3,2,3,2
1,11122025,11122037,0,0,0,.2,0,3,2,3,2
1,11122030,11122031,0,1,1,.2,0,3,2,3,2
1,11122063,11122082,1,0,0,0,0,4,2,4,2
1,11122108,11122097,1,1,0,.80000001,0,4,2,4,2
1,11122004,11122032,1,1,0,.40000001,0,3,2,3,2
1,11122049,11122015,1,1,0,.2,0,3,2,3,2
1,11122029,11122013,1,1,1,.2,0,3,2,3,2
1,11122103,11122107,1,1,1,.80000001,0,4,2,4,2
1,11122066,11122075,0,0,0,0,0,4,2,4,2
1,11122052,11122032,1,1,0,.40000001,0,3,2,3,2
1,11122066,11122095,1,0,0,.2,0,4,2,4,2
1,11122047,11122032,1,1,0,.40000001,0,3,2,3,2
1,11122027,11122025,1,1,0,.2,0,3,2,3,2
1,11122056,11122103,0,1,0,.2,0,4,2,4,2
1,11122012,11122041,0,1,0,1,0,3,2,3,2
1,11122012,11122051,,,,,0,3,2,3,2
1,11122026,11122015,1,1,0,.2,0,3,2,3,2
1,11122048,11122014,,,,,0,3,2,3,2
1,11122048,11122043,,,,,0,3,2,3,2
1,11122103,11122076,0,1,0,.40000001,0,4,2,4,2
1,11122041,11122026,0,0,0,1,0,3,2,3,2
1,11122049,11122006,0,0,0,.60000002,1,3,2,3,2
1,11122057,11122056,0,1,0,.2,0,4,2,4,2
1,11122021,11122028,,,,,0,3,2,5,2
1,11122056,11122093,1,1,0,.2,0,4,2,4,2
1,11122030,11122028,,,,,0,3,2,3,2
1,11122023,11122015,1,1,0,.2,0,3,2,3,2
1,11122066,11122077,0,0,1,,0,4,2,4,2
1,11122025,11122012,0,0,1,.40000001,0,3,2,3,2
1,11122046,11122020,0,0,1,.80000001,0,3,2,3,2
1,11122088,11122084,,,,,0,4,2,4,2
1,11122088,11122101,0,0,0,.2,0,4,2,4,2
1,11122104,11122097,1,1,0,.80000001,0,4,2,4,2
1,11122035,11122027,0,1,1,.40000001,0,3,2,3,2
1,11122046,11122017,,,,,0,3,2,3,2
1,11122085,11122056,0,1,0,.2,0,4,2,4,2
1,11122041,11122004,0,0,0,1,0,3,2,3,2
1,11122035,11122032,1,1,0,.40000001,0,3,2,3,2
1,11122023,11122001,0,1,0,.2,0,3,2,3,2
1,11122104,11122075,0,0,0,0,0,4,2,4,2
1,11122031,11122032,1,1,0,.40000001,0,3,2,3,2
1,11122088,11122085,1,0,1,.80000001,0,4,2,4,2
1,11122021,11122047,0,0,0,.2,0,3,2,5,2
1,11122021,11122009,1,0,1,1,0,3,2,5,2
1,11122041,11122012,0,0,1,.40000001,0,3,2,3,2
1,11122093,11122108,1,1,1,.60000002,0,4,2,4,2
1,11122108,11122084,,,,,0,4,2,4,2
1,11122029,11122041,0,1,0,1,0,3,2,3,2
1,11122057,11122055,,,,,0,4,2,4,2
1,11122013,11122031,0,1,1,.2,0,3,2,3,2
1,11122032,11122027,0,1,1,.40000001,0,3,2,3,2
1,11122042,11122040,,,,,0,3,2,3,2
1,11122082,11122099,,,,,0,4,2,4,2
1,11122033,11122027,0,1,1,.40000001,0,3,2,3,2
1,11122080,11122093,1,1,0,.2,0,4,2,4,2
1,11122020,11122040,,,,,0,3,2,3,2
1,11122009,11122048,0,1,1,.60000002,0,3,2,3,2
1,11122047,11122026,0,0,0,1,0,3,2,3,2
1,11122020,11122009,1,0,1,1,0,3,2,3,2
1,11122104,11122093,1,1,0,.2,0,4,2,4,2
1,11122039,11122047,0,0,0,.2,0,3,2,3,2
1,11122080,11122108,1,1,1,.60000002,0,4,2,4,2
1,11122037,11122025,1,1,0,.2,0,3,2,3,2
1,11122009,11122043,,,,,0,3,2,3,2
1,11122012,11122001,0,1,0,.2,0,3,2,3,2
1,11122052,11122031,0,1,1,.2,0,3,2,3,2
1,11122107,11122056,0,1,0,.2,0,4,2,4,2
1,11122045,11122009,1,0,1,1,0,3,2,3,2
1,11122009,11122027,0,1,1,.40000001,0,3,2,3,2
1,11122025,11122049,0,1,0,.2,0,3,2,3,2
1,11122047,11122052,0,0,0,.2,0,3,2,3,2
1,11122093,11122101,0,0,0,.2,0,4,2,4,2
1,11122108,11122080,1,0,1,.80000001,0,4,2,4,2
1,11122093,11122099,,,,,0,4,2,4,2
1,11122030,11122034,,,,,0,3,2,3,2
1,11122057,11122065,,,,,0,4,2,4,2
1,11122080,11122088,0,1,1,.2,0,4,2,4,2
1,11122098,11122107,1,1,1,.80000001,0,4,2,4,2
1,11122041,11122052,0,0,0,.2,0,3,2,3,2
1,11122101,11122093,1,1,0,.2,0,4,2,4,2
1,11122013,11122033,0,1,1,.2,0,3,2,3,2
1,11122078,11122074,,,,,0,4,2,4,2
1,11122078,11122073,,,,,0,4,2,4,2
1,11122093,11122080,1,0,1,.80000001,0,4,2,4,2
1,11122101,11122085,1,0,1,.80000001,0,4,2,4,2
1,11122023,11122031,0,1,1,.2,0,3,2,3,2
1,11122057,11122066,0,0,1,.2,0,4,2,4,2
1,11122093,11122098,1,1,0,.60000002,0,4,2,4,2
1,11122107,11122097,1,1,0,.80000001,0,4,2,4,2
1,11122052,11122047,0,0,0,.2,0,3,2,3,2
1,11122056,11122101,0,0,0,.2,0,4,2,4,2
1,11122045,11122043,,,,,0,3,2,3,2
1,11122108,11122101,0,0,0,.2,0,4,2,4,2
1,11122032,11122013,1,1,1,.2,0,3,2,3,2
1,11122013,11122023,1,1,1,.2,0,3,2,3,2
1,11122004,11122026,0,0,0,1,0,3,2,3,2
1,11122004,11122006,0,0,0,.60000002,0,3,2,3,2
1,11122025,11122027,0,1,1,.40000001,0,3,2,3,2
1,11122015,11122052,0,0,0,.2,0,3,2,3,2
1,11122108,11122088,0,1,1,.2,0,4,2,4,2
1,11122098,11122066,0,0,1,.2,0,4,2,4,2
1,11122012,11122009,1,0,1,1,0,3,2,3,2
1,11122020,11122014,,,,,0,3,2,3,2
1,11122031,11122030,0,1,0,.2,0,3,2,3,2
1,11122103,11122104,1,1,0,.2,0,4,2,4,2
1,11122039,11122037,0,0,0,.2,0,3,2,3,2
1,11122042,11122045,0,0,0,.2,0,3,2,3,2
1,11122030,11122032,1,1,0,.40000001,0,3,2,3,2
1,11122027,11122026,0,0,0,1,0,3,2,3,2
1,11122102,11122079,,,,,0,4,2,4,2
1,11122042,11122022,,,,,0,3,2,3,2
1,11122029,11122023,1,1,1,.2,0,3,2,3,2
1,11122013,11122027,0,1,1,.40000001,0,3,2,3,2
1,11122042,11122035,0,1,0,.2,0,3,2,3,2
1,11122098,11122104,1,1,0,.2,0,4,2,4,2
1,11122047,11122004,0,0,0,1,0,3,2,3,2
1,11122078,11122057,1,1,1,.40000001,0,4,2,4,2
1,11122076,11122103,0,1,0,.2,0,4,2,3,2
1,11122031,99,,,,,0,3,2,3,2
1,11122004,11122005,0,0,0,0,0,3,2,3,2
1,11122098,11122092,,,,,0,4,2,4,2
1,11122015,11122009,1,0,1,1,0,3,2,3,2
